state, percentage_x, percentage_y
Connecticut,52,526
Delaware,47,138
Florida,157,1596
Georgia,87,899
Maine,46,148
Maryland,70,723
Massachusetts,86,897
New Hampshire,48,177
West Virginia,48,140
Pennsylvania,173,1830
Vermont,47,82
District Of Columbia,47,124
New Jersey,150,1546
New York,282,2979
North Carolina,91,931
Rhode Island,48,150
South Carolina,47,489
Virginia,88,907
Montana,49,75
Nevada,47,287
Arizona,47,464
Colorado,47,480
Wyoming,50,53
New Mexico,49,133
Utah,44,200
Idaho,49,117
Alabama,44,370
Oklahoma,42,306
Texas,186,1990
Tennessee,43,453
Kentucky,45,294
Arkansas,46,199
Mississippi,48,202
Louisiana,48,353
California,389,4265
Hawaii,47,169
Washington,66,707
Oregon,50,407
Alaska,48,68
Ohio,87,971
Indiana,47,474
Illinois,109,1152
Michigan,78,783
Iowa,44,294
Wisconsin,40,429
Minnesota,39,415
South Dakota,48,55
North Dakota,41,41
Missouri,61,619
Kansas,45,263
Nebraska,46,178
