Connecticut,54
Delaware,50
Florida,168
Georgia,94
Maine,50
Maryland,73
Massachusetts,90
New Hampshire,50
West Virginia,49
Pennsylvania,182
Vermont,50
District Of Columbia,50
New Jersey,153
New York,291
North Carolina,97
Rhode Island,50
South Carolina,51
Virginia,93
Montana,50
Nevada,50
Arizona,47
Colorado,48
Wyoming,50
New Mexico,50
Utah,50
Idaho,50
Alabama,50
Oklahoma,50
Texas,207
Tennessee,45
Kentucky,50
Arkansas,50
Mississippi,50
Louisiana,50
California,425
Hawaii,50
Washington,67
Oregon,50
Alaska,49
Ohio,99
Indiana,48
Illinois,117
Michigan,78
Iowa,50
Wisconsin,43
Minnesota,41
South Dakota,50
North Dakota,44
Missouri,65
Kansas,50
Nebraska,50
