file,accuracy,majority_baseline,precision,recall,f1,prompt
positivity_long_1,0.847255369928401,0.6778042959427207,0.7111111111111111,0.7933884297520661,0.75,prompt_en_Positivity_long_1
positivity_short_1,0.8162291169451074,0.8902147971360382,0.9782608695652174,0.371900826446281,0.5389221556886227,prompt_en_Positivity_short_1
positivity_short_2,0.7971360381861575,0.5704057279236276,0.6,0.8925619834710744,0.717607973421927,prompt_en_Positivity_short_2
positivity_short_3,0.837708830548926,0.7923627684964201,0.8045977011494253,0.5785123966942148,0.673076923076923,prompt_en_Positivity_short_3
positivity_json_1,0.8424821002386634,0.863961813842482,0.9824561403508772,0.4628099173553719,0.6292134831460674,prompt_en_Positivity_json_1
positivity_json_2,0.7875894988066826,0.7088305489260143,0.6311475409836066,0.6363636363636364,0.6337448559670782,prompt_en_positivity_json_2
positivity_json_3,0.7780429594272077,0.9331742243436754,1.0,0.2314049586776859,0.3758389261744966,prompt_en_positivity_json_3
positivity_short_4,0.7780429594272077,0.7422434367541766,0.6296296296296297,0.5619834710743802,0.5938864628820961,prompt_en_Positivity_short_4
positivity_long_2,0.6014319809069213,0.6109785202863962,0.41015625,0.8677685950413223,0.5570291777188329,prompt_en_Positivity_long_2
positivity_long_3,0.7756563245823389,0.6443914081145584,0.5906040268456376,0.7272727272727273,0.6518518518518519,prompt_en_Positivity_long_3
positivity_long_4,0.8042959427207638,0.9069212410501192,1.0,0.3223140495867768,0.4874999999999999,prompt_en_Positivity_long_4
positivity_GPT,0.639618138424821,0.5107398568019093,0.4299065420560747,0.7603305785123967,0.5492537313432836,prompt_en_Positivity_GPT
positivity_GPT_1,0.747016706443914,0.568019093078759,0.5414364640883977,0.8099173553719008,0.6490066225165563,prompt_en_Positivity_GPT_1
positivity_GPT_2,0.7828162291169452,0.5894988066825776,0.5872093023255814,0.8347107438016529,0.689419795221843,prompt_en_Positivity_GPT_2
positivity_long_full_name,0.665871121718377,0.5202863961813843,0.4527363184079602,0.7520661157024794,0.5652173913043479,prompt_en_Positivity_long_full_name
positivity_long_full_name_1,0.7541766109785203,0.9522673031026253,0.95,0.15702479338842976,0.2695035460992908,prompt_en_Positivity_long_full_name_1
